,Name,Label,Origin,Shape,Height,Width,Luminosity,Brightness
19474,BA_915452.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,186.8366975308642,184.71077160493826
18536,BA_241069.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,194.7966975308642,193.79539351851852
40,BAS_0041.tiff,Basophil,Munich,"(400, 400, 3)",400,400,187.05868055555555,173.9691512345679
18365,BA_100102.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,193.01324845679014,192.91358024691357
18859,BA_465907.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.2589274691358,186.77912808641975
42050,20190531_112954_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,136.872762345679,124.10802469135803
18645,BA_320878.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.96577160493828,189.61760030864198
18916,BA_505144.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,193.10760802469136,192.14632716049383
18714,BA_369405.jpg,Basophil,Barcelona,"(369, 366, 3)",369,366,196.12569444444443,185.71595679012347
19301,BA_796830.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.7255401234568,189.15136574074074
19557,BA_985054.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,188.12127314814813,186.16766975308641
19212,BA_726726.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.43337962962963,186.8225848765432
19447,BA_893914.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,186.97744598765433,183.4987037037037
18950,BA_532468.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,197.2542361111111,197.3164274691358
41942,20190526_165411_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,144.0274537037037,138.2023302469136
18397,BA_128084.jpg,Basophil,Barcelona,"(369, 366, 3)",369,366,193.93689814814815,185.70761574074075
19024,BA_583432.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.88354166666667,187.53907407407408
18753,BA_396430.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,199.63131172839505,200.15238425925926
19158,BA_687195.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,193.0046064814815,191.45117283950617
18935,BA_517662.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,185.2937037037037,182.3951697530864
19428,BA_883174.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,196.1554552469136,194.47145061728395
19515,BA_945174.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.59979938271604,189.27040895061728
18484,BA_201200.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,188.50608024691357,186.59590277777778
19081,BA_625812.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,188.56684413580246,185.94403549382716
41995,20190527_114335_1.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,144.23640432098765,135.08358024691358
18936,BA_518773.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,191.24787037037038,190.39962191358023
18572,BA_267693.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.39386574074075,188.5001311728395
19253,BA_760001.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,179.00815586419753,174.62430555555557
19571,BA_992623.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.1937037037037,188.51305555555555
19028,BA_584910.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,188.9899537037037,185.6003472222222
42119,20190604_111117_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,140.04094907407406,136.0609799382716
18634,BA_312613.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.88902777777778,189.3502700617284
19014,BA_578419.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.8866049382716,188.4397299382716
18689,BA_353283.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,188.08650462962962,186.42908179012346
42078,20190531_115301_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,137.95318672839505,130.96094907407408
72,BAS_0073.tiff,Basophil,Munich,"(400, 400, 3)",400,400,186.21936728395062,172.44326388888888
19560,BA_987742.jpg,Basophil,Barcelona,"(369, 366, 3)",369,366,194.2620524691358,187.20467592592593
37643,20190531_114409_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,151.90802469135804,150.30162808641975
18887,BA_485601.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,201.94182098765432,203.14586419753087
19136,BA_66887.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,197.2316975308642,196.52452932098765
19497,BA_933664.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.37035493827162,188.24851851851852
19414,BA_874689.jpg,Basophil,Barcelona,"(369, 366, 3)",369,366,190.20719907407408,180.64431327160494
18524,BA_230866.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,194.09189814814815,192.73716820987653
19047,BA_601585.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,191.48875,190.4707947530864
19565,BA_990612.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,176.95320216049382,171.58836419753086
41952,20190526_170312_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,131.35760802469136,122.59956790123456
19371,BA_839707.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.02046296296297,188.84926697530864
18717,BA_372647.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,184.97801697530863,181.78173611111112
19026,BA_58432.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.1841512345679,187.45726080246914
19533,BA_957241.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,188.75403549382716,185.9812962962963
18842,BA_457610.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,193.30956790123457,192.57827160493827
18504,BA_214867.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,188.94773919753086,186.3389737654321
19110,BA_648155.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.80827932098765,188.70056327160495
19335,BA_816718.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,197.27262345679011,196.41381172839507
19272,BA_773446.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,187.29587191358024,185.47752314814815
19348,BA_825338.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,187.4961188271605,185.8025
42062,20190531_113852_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,141.39717592592592,140.34490740740742
41977,20190527_112437_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,148.14875771604937,143.9920987654321
18875,BA_477049.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,191.00926697530863,189.47583333333333
19218,BA_731764.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,191.01280092592592,189.04281635802468
18415,BA_144863.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.19341049382717,187.90251543209877
41970,20190527_112006_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,136.6105709876543,130.21194444444444
18660,BA_330244.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.28802469135803,187.71408950617283
42057,20190531_113328_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,154.4519290123457,153.69054783950617
19023,BA_583260.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,194.5300848765432,193.47265432098766
41944,20190526_165808_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,141.59653549382716,136.57689043209876
19418,BA_877555.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,180.38639660493828,176.029737654321
19380,BA_845828.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,184.35605709876543,180.2575925925926
18519,BA_225540.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,183.40054783950617,179.6391589506173
18778,BA_4118.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.59851851851852,187.78371141975308
37644,20190531_114409_1.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,141.15577160493828,136.67917438271604
18990,BA_559801.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,193.277237654321,191.84069444444444
37604,20190527_112120_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,142.7858101851852,135.80270833333333
19228,BA_739484.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,193.3957175925926,192.5279552469136
18526,BA_236096.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,194.1894212962963,192.7592901234568
18728,BA_38226.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,185.2611188271605,181.45735339506172
18470,BA_191120.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,185.6880324074074,182.78076388888888
19097,BA_636364.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,191.51382716049383,189.74219135802468
41927,20190526_164136_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,133.31622685185187,125.95405092592593
19323,BA_809918.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,180.43510802469135,176.92609567901235
19160,BA_68896.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,184.63209104938272,181.3395061728395
19386,BA_849723.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,192.28182098765433,191.23593364197532
18658,BA_329684.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,181.3239737654321,176.22881172839507
18547,BA_24963.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,187.9510802469136,185.67675925925926
18766,BA_403405.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,192.49577932098765,190.6049537037037
19011,BA_577373.jpg,Basophil,Barcelona,"(369, 366, 3)",369,366,195.98106481481483,186.56395061728395
19072,BA_618018.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,186.9762037037037,184.27628086419753
19265,BA_769899.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,186.96287037037038,183.77270833333333
19044,BA_599277.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,185.88729166666667,182.03994598765433
18438,BA_164170.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,195.37186728395062,193.8945910493827
19200,BA_720607.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.31935185185185,186.9986651234568
18676,BA_340913.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,195.23301697530863,194.4245061728395
18798,BA_420931.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,192.41715277777777,191.36675925925925
18436,BA_162861.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,181.77195216049384,177.44486111111112
42086,20190531_115746_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,159.81010802469135,159.74924382716048
19579,BA_995163.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,193.31293981481483,191.68260030864198
18395,BA_127671.jpg,Basophil,Barcelona,"(369, 366, 3)",369,366,193.09126543209877,183.2877700617284
19302,BA_796878.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,192.36152006172838,190.60696759259258
42022,20190531_110105_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,152.71290895061728,153.87693672839507
19531,BA_956163.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,186.35953703703703,182.93087191358023
18713,BA_368595.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,182.25514660493826,179.49431327160494
19537,BA_961470.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.1083950617284,186.73188271604937
42037,20190531_111807_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,130.30503086419753,127.4207561728395
17,BAS_0018.tiff,Basophil,Munich,"(400, 400, 3)",400,400,192.6237422839506,179.40746141975308
19134,BA_668105.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.70148919753086,188.58343364197532
19321,BA_809385.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,188.42454475308642,187.029274691358
18806,BA_427583.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,197.90474537037036,198.1447299382716
42005,20190527_114957_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,147.56608796296297,141.24891975308643
37632,20190531_112018_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,141.0626774691358,139.76002314814815
37615,20190527_115013_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,144.17137345679012,140.21185956790123
18942,BA_527567.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,199.2142052469136,199.57156635802468
26,BAS_0027.tiff,Basophil,Munich,"(400, 400, 3)",400,400,198.33454475308642,189.50277777777777
18371,BA_10622.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,191.93067901234568,189.79691358024692
18941,BA_526172.jpg,Basophil,Barcelona,"(369, 366, 3)",369,366,202.4925385802469,194.80975308641976
19129,BA_664643.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,197.0185725308642,196.32369598765433
18864,BA_47.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,194.54611111111112,194.08979166666666
42106,20190531_121441_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,150.47567901234567,140.457862654321
19362,BA_834949.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,185.3522685185185,182.40073302469136
19211,BA_726414.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,195.76993055555556,194.62677469135804
19322,BA_80990.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,187.52722222222224,184.81422067901235
37653,20190531_115923_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,163.6739197530864,163.73564043209876
18564,BA_263028.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,191.88685956790124,191.1652237654321
19314,BA_80247.jpg,Basophil,Barcelona,"(369, 366, 3)",369,366,195.67319444444445,186.6206712962963
19172,BA_695025.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,187.30993827160495,184.31345679012347
55,BAS_0056.tiff,Basophil,Munich,"(400, 400, 3)",400,400,192.67007716049383,183.49479166666666
19148,BA_679732.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.0201697530864,186.91027777777776
37597,20190526_170532_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,145.47523919753087,139.85614197530865
41937,20190526_165145_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,134.73070987654322,130.00253086419752
41949,20190526_170157_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,137.71185956790123,130.41207561728396
18434,BA_161905.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.75781635802468,187.30949074074073
18970,BA_54664.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,194.36456018518518,193.655987654321
18769,BA_403789.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,197.00430555555556,196.8532484567901
42053,20190531_113249_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,136.79952932098766,134.05373456790124
18779,BA_412372.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,194.19367283950618,193.8562114197531
19290,BA_786828.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,186.51947530864197,183.2390586419753
43,BAS_0044.tiff,Basophil,Munich,"(400, 400, 3)",400,400,197.93131944444445,187.35635030864196
19087,BA_631393.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.1186111111111,186.37936728395061
18516,BA_223705.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,200.81153549382717,200.32409722222224
18443,BA_168028.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,186.13141203703702,184.32288580246913
19202,BA_721289.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,188.36360339506172,185.7978163580247
19241,BA_749588.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,195.0503163580247,194.48202160493827
19274,BA_775507.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,185.84762345679013,182.3130864197531
37589,20190526_165203_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,129.72283950617285,127.42698302469135
19033,BA_589182.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,194.1484799382716,192.83673611111112
18813,BA_434728.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,185.42908950617283,182.48949074074073
19390,BA_854946.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,180.81209104938273,177.29730709876543
41941,20190526_165338_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,131.84693672839506,123.21604166666667
19538,BA_963023.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,193.99219907407408,193.54496913580246
19315,BA_803923.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,187.23409722222223,184.93594907407407
18856,BA_46485.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,187.7486188271605,184.96541666666667
19262,BA_768330.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,191.39398919753086,188.90759259259258
37658,20190531_121341_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,140.84320216049383,131.4812962962963
42051,20190531_113053_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,143.23382716049383,137.33872685185185
19061,BA_609565.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,193.15720679012347,191.31922839506174
19381,BA_846077.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,188.4686959876543,187.2173688271605
18686,BA_348770.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,194.69320987654322,193.07262345679013
41983,20190527_113013_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,132.01131944444444,122.00233024691359
19495,BA_93147.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,192.9834799382716,192.1800462962963
19173,BA_695174.jpg,Basophil,Barcelona,"(369, 366, 3)",369,366,201.44720679012346,193.09925925925927
42032,20190531_111114_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,142.54331790123456,142.52460648148147
18386,BA_121897.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,188.45050925925926,186.50048611111112
18452,BA_176200.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,184.97220679012347,181.96844907407407
41958,20190526_170621_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,137.71591820987655,130.87876543209876
18665,BA_332707.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,185.50278549382716,183.00733024691357
41986,20190527_113105_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,136.44749228395062,130.1627777777778
19567,BA_991876.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,183.049375,179.66326388888888
41919,20190526_163532_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,126.65345679012346,120.66347222222223
19419,BA_878109.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,184.5470138888889,181.40322530864196
18934,BA_517315.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,186.1942824074074,182.4544598765432
42063,20190531_113945_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,149.93050925925925,150.90369598765432
18419,BA_147981.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,188.05166666666668,186.48248456790122
19109,BA_647570.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,196.17873456790124,194.61212191358024
19250,BA_756115.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,186.67902777777778,183.21864197530863
18422,BA_152708.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,185.78148148148148,182.96006172839506
48,BAS_0049.tiff,Basophil,Munich,"(400, 400, 3)",400,400,193.09429783950617,182.07453703703703
41967,20190527_111533_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,140.54279320987655,132.02523919753085
19233,BA_746210.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,193.16530092592592,191.57212962962964
18991,BA_56068.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,195.31592592592594,194.82822530864198
70,BAS_0071.tiff,Basophil,Munich,"(400, 400, 3)",400,400,194.1563888888889,183.21660493827162
18647,BA_322445.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,187.16279320987655,184.49957561728394
37633,20190531_112325_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,150.48643518518517,147.4270138888889
18488,BA_202924.jpg,Basophil,Barcelona,"(369, 366, 3)",369,366,197.85809413580247,188.2244135802469
18595,BA_279986.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.7086111111111,188.41967592592593
41921,20190526_163721_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,131.96429783950617,124.61865740740741
18925,BA_511776.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.0897299382716,188.8283024691358
18926,BA_511856.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,185.80095679012345,181.59685956790125
18442,BA_166905.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,193.25030092592593,191.32148148148147
18532,BA_238331.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,195.07949845679013,194.28850308641975
18618,BA_30267.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.2584336419753,187.95425154320986
19222,BA_736344.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,184.6308024691358,180.74619598765432
19341,BA_819177.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,196.16764660493828,195.91992283950617
42030,20190531_111032_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,136.3294212962963,125.77422067901234
42003,20190527_114843_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,133.2533564814815,123.41007716049383
18882,BA_484151.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,181.41334104938272,176.7558101851852
41928,20190526_164136_1.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,132.5666049382716,124.84405864197531
18631,BA_309434.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,195.91920524691358,195.73458333333335
42031,20190531_111058_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,137.94668209876542,137.57835648148148
18701,BA_360297.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,187.3195524691358,184.6681172839506
18482,BA_200697.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.5427160493827,187.34043209876543
19053,BA_60560.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,177.08098765432098,171.32652777777778
19493,BA_931171.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,193.34087962962963,192.02443672839507
18698,BA_35991.jpg,Basophil,Barcelona,"(369, 366, 3)",369,366,194.4545910493827,186.01340277777777
19319,BA_808405.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,188.7434027777778,186.1699151234568
19287,BA_786369.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,183.40054783950617,179.6391589506173
19064,BA_611781.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,193.8181635802469,192.6385725308642
19254,BA_760452.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,187.35226080246915,184.1424151234568
18814,BA_435822.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,191.62140432098766,190.5425848765432
18559,BA_25610.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,192.64028549382715,191.54215277777777
19209,BA_726134.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,186.47778549382716,183.074637345679
37664,20190604_111002_1.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,124.97069444444445,116.32976080246914
19140,BA_672755.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,183.72868055555554,180.21614969135803
41923,20190526_163735_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,130.15269290123456,124.5354938271605
58,BAS_0059.tiff,Basophil,Munich,"(400, 400, 3)",400,400,205.82993827160493,195.99665895061727
19249,BA_754114.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,187.98288580246913,185.94158179012345
18573,BA_268064.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,192.48935956790123,190.401512345679
19188,BA_710454.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,194.33023919753086,192.8229089506173
18375,BA_112418.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,188.63702932098766,186.55144290123457
19182,BA_702907.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,193.16222222222223,191.55676697530865
19130,BA_665657.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,183.47668209876542,180.8463348765432
50,BAS_0051.tiff,Basophil,Munich,"(400, 400, 3)",400,400,186.8206790123457,176.35523148148147
19528,BA_953342.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,196.56391203703703,196.12189043209875
71,BAS_0072.tiff,Basophil,Munich,"(400, 400, 3)",400,400,194.50905864197532,184.98900462962962
42105,20190531_121357_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,165.2715586419753,158.7872762345679
